id,parent,subsystem,diffs,window,symbol,pf,wr,dd,status,failure_reason,run_id,notes
P1-BASELINE,PRODUCTION,,No SL steamroller,2026.01.01-2026.07.31,EURUSD,0.17,0.83,66,reject,dd_breach,20260101_P1-BASELINE_4a41623a,EL2 row 1; reject
P2A-001_PSL_ATR15_RAW,PRODUCTION,,Fixed ATR SL too tight,2026.01.01-2026.07.31,EURUSD,0.0,0.0,5,reject,regime,20260101_P2A-001_PSL_ATR15_RAW_f67b382d,EL2 row 2; reject
P2A-001_PSL_ATR20,PRODUCTION,,Strong R:R; unprofitable Jan-Feb,2026.01.01-2026.07.31,EURUSD,0.91,0.21,22,candidate,dd_breach,20260101_P2A-001_PSL_ATR20_f49d3773,EL2 row 3; alternate_g1_fail
P2A-001_PSL_ATR15,PRODUCTION,,Prev candidate; structure SL,2026.01.01-2026.07.31,EURUSD,1.02,0.42,26,candidate,dd_breach,20260101_P2A-001_PSL_ATR15_7fab2c11,EL2 row 4; alternate_g1_fail
P2A-002_BSL_15,PRODUCTION,,BSL15; DD fails G1,2026.01.01-2026.07.31,EURUSD,1.06,0.61,43,candidate,dd_breach,20260101_P2A-002_BSL_15_0709f094,EL2 row 5; alternate_g1_fail
P2A-002_BSL_25,PRODUCTION,,Superseded by ATRP70 then PRODUCTION,2026.01.01-2026.07.31,EURUSD,1.15,0.73,18,candidate,pf_breach,20260101_P2A-002_BSL_25_5ea7b09b,EL2 row 6; alternate_g1_fail
P2A-003_TIME_48B,PRODUCTION,,Same as P1,2026.01.01-2026.07.31,EURUSD,0.17,0.83,66,reject,dd_breach,20260101_P2A-003_TIME_48B_b4afaa4d,EL2 row 7; reject
P2A-003_TIME_96B,PRODUCTION,,Identical to 48B/P1,2026.01.01-2026.07.31,EURUSD,0.17,0.83,66,reject,dd_breach,20260101_P2A-003_TIME_96B_713527f9,EL2 row 8; reject
P2A-004_DEPTH_L3,PRODUCTION,,Same as P1 - no exit,2026.01.01-2026.07.31,EURUSD,0.17,0.83,66,reject,dd_breach,20260101_P2A-004_DEPTH_L3_d8a6bb39,EL2 row 9; reject
P2A-005_CD_10B,PRODUCTION,,BSL20 + 10b cooldown,2026.01.01-2026.07.31,EURUSD,1.0,0.66,32,reject,dd_breach,20260101_P2A-005_CD_10B_024b081c,EL2 row 10; reject
